create_time,range
2022/2/22 0:05,72
2022/2/22 0:15,72
2022/2/22 0:25,74
2022/2/22 0:35,74
2022/2/22 0:47,74
2022/2/22 0:55,74
2022/2/22 1:05,74
2022/2/22 1:15,75
2022/2/22 1:25,75
2022/2/22 1:35,76
2022/2/22 1:45,76
2022/2/22 1:55,76
2022/2/22 2:05,76
2022/2/22 2:15,77
2022/2/22 2:25,77
2022/2/22 2:35,78
2022/2/22 2:45,77
2022/2/22 2:55,77
2022/2/22 3:05,78
2022/2/22 3:15,78
2022/2/22 3:25,78
2022/2/22 3:35,77
2022/2/22 3:45,78
2022/2/22 3:55,77
2022/2/22 4:05,77
2022/2/22 4:15,77
2022/2/22 4:25,77
2022/2/22 4:35,78
2022/2/22 4:45,78
2022/2/22 4:55,78
2022/2/22 5:05,78
2022/2/22 5:15,77
2022/2/22 5:25,78
2022/2/22 5:35,77
2022/2/22 5:45,78
2022/2/22 5:55,77
2022/2/22 6:05,77
2022/2/22 6:15,77
2022/2/22 6:25,78
2022/2/22 6:35,79
2022/2/22 6:45,78
2022/2/22 6:55,79
2022/2/22 7:05,77
2022/2/22 7:15,150
2022/2/22 7:25,111
2022/2/22 7:35,150
2022/2/22 7:45,150
2022/2/22 7:55,149
2022/2/22 8:05,149
2022/2/22 8:15,148
2022/2/22 8:25,148
2022/2/22 8:35,150
2022/2/22 8:45,150
2022/2/22 8:55,150
2022/2/22 9:05,150
2022/2/22 9:15,150
2022/2/22 9:25,150
2022/2/22 9:35,150
2022/2/22 9:45,150
2022/2/22 9:55,144
2022/2/22 10:05,150
2022/2/22 10:15,141
2022/2/22 10:25,140
2022/2/22 10:35,141
2022/2/22 10:45,141
2022/2/22 10:55,150
2022/2/22 11:05,150
2022/2/22 11:15,150
2022/2/22 11:25,255
2022/2/22 11:35,150
2022/2/22 11:45,150
2022/2/22 11:55,150
2022/2/22 12:05,150
2022/2/22 12:15,150
2022/2/22 12:25,150
2022/2/22 12:35,150
2022/2/22 12:45,150
2022/2/22 12:55,255
2022/2/22 13:05,255
2022/2/22 13:15,136
2022/2/22 13:25,255
2022/2/22 13:35,255
2022/2/22 13:45,255
2022/2/22 13:55,255
2022/2/22 14:05,255
2022/2/22 14:15,255
2022/2/22 14:25,255
2022/2/22 14:35,255
2022/2/22 14:45,255
2022/2/22 14:55,255
2022/2/22 15:05,143
2022/2/22 15:15,141
2022/2/22 15:25,142
2022/2/22 15:35,143
2022/2/22 15:45,143
2022/2/22 15:55,143
2022/2/22 16:05,142
2022/2/22 16:15,141
2022/2/22 16:25,143
2022/2/22 16:35,144
2022/2/22 16:45,142
2022/2/22 16:55,132
2022/2/22 17:05,133
2022/2/22 17:15,255
2022/2/22 17:26,147
2022/2/22 17:36,148
2022/2/22 17:46,140
2022/2/22 17:56,149
2022/2/22 18:06,146
2022/2/22 18:16,145
2022/2/22 18:26,118
2022/2/22 18:36,120
2022/2/22 18:46,124
2022/2/22 18:56,120
2022/2/22 19:06,118
2022/2/22 19:09,112
2022/2/22 19:16,113
2022/2/22 19:26,110
2022/2/22 19:36,114
2022/2/22 19:46,124
2022/2/22 19:56,130
2022/2/22 20:06,119
2022/2/22 20:16,121
2022/2/22 20:26,103
2022/2/22 20:36,96
2022/2/22 20:46,112
2022/2/22 20:56,107
2022/2/22 21:06,108
2022/2/22 21:16,108
2022/2/22 21:26,108
2022/2/22 21:36,100
2022/2/22 21:46,100
2022/2/22 21:56,100
2022/2/22 22:06,98
2022/2/22 22:16,99
2022/2/22 22:26,99
2022/2/22 22:36,98
2022/2/22 22:46,98
2022/2/22 22:56,99
2022/2/22 23:06,98
2022/2/22 23:16,99
2022/2/22 23:26,255
2022/2/22 23:36,255
2022/2/22 23:46,255
2022/2/22 23:56,150
